movie_id,language,movie_name,country
135397,English,Jurassic World,India
76341,Germen,Mad Max: Fury Road,USA
262500,Spanish,Insurgent,India
140607,Dutch,Star Wars: The Force Awakens,India
168259,Dutch,Furious 7,UK
281957,Germen,The Revenant,USA
87101,Germen,Terminator Genisys,USA
286217,Dutch,The Martian,India
211672,Dutch,Minions,India
150540,English,Inside Out,USA
206647,Spanish,Spectre,Spain
76757,English,Jupiter Ascending,UK
264660,English,Ex Machina,India
257344,English,Pixels,Spain
99861,Dutch,Avengers: Age of Ultron,UK
273248,English,The Hateful Eight,Spain
260346,English,Taken 3,Spain
102899,English,Ant-Man,UK
150689,Spanish,Cinderella,India
131634,Spanish,The Hunger Games: Mockingjay - Part 2,Spain
158852,Dutch,Tomorrowland,Spain
307081,Spanish,Southpaw,UK
254128,Spanish,San Andreas,USA
216015,Dutch,Fifty Shades of Grey,UK
318846,English,The Big Short,UK
177677,Spanish,Mission: Impossible - Rogue Nation,India
214756,Germen,Ted 2,India
207703,Dutch,Kingsman: The Secret Service,India
314365,Dutch,Spotlight,USA
294254,Spanish,Maze Runner: The Scorch Trials,UK
280996,Spanish,Mr. Holmes,USA
198184,Dutch,Chappie,Spain
254470,Dutch,Pitch Perfect 2,UK
296098,Germen,Bridge of Spies,Spain
257445,Germen,Goosebumps,USA
264644,Spanish,Room,UK
339527,Spanish,Solace,UK
105864,Dutch,The Good Dinosaur,UK
241554,Dutch,Run All Night,Spain
167073,Spanish,Brooklyn,India
277216,English,Straight Outta Compton,India
274854,Dutch,The Last Witch Hunter,UK
321697,Germen,Steve Jobs,India
203801,Spanish,The Man from U.N.C.L.E.,USA
293863,Spanish,The Age of Adaline,UK
325348,Spanish,Hardcore Henry,Spain
228161,Germen,Home,Spain
286565,Spanish,Paper Towns,USA
265208,Dutch,Wild Card,Spain
254320,Dutch,The Lobster,Spain
258480,Spanish,Carol,Spain
257211,Dutch,The Intern,UK
253412,English,Everest,UK
274479,Germen,Joy,Spain
257088,Dutch,Point Break,USA
295964,Dutch,Burnt,UK
238615,English,Self/less,UK
210860,Dutch,Mortdecai,India
306819,Germen,The Danish Girl,India
201088,English,Blackhat,Spain
273481,English,Sicario,Spain
166424,Spanish,Fantastic Four,USA
310131,Spanish,The Witch,Spain
238713,Spanish,Spy,USA
256591,English,Focus,Spain
249070,Germen,Hitman: Agent 47,India
205775,Dutch,In the Heart of the Sea,India
334074,Dutch,Survivor,USA
312221,English,Creed,Spain
271718,Spanish,Trainwreck,UK
333352,Spanish,Eye in the Sky,Spain
276907,Germen,Legend,Spain
284289,English,Beyond the Reach,USA
266647,Spanish,Pan,Spain
347096,Spanish,Mythica: The Darkspore,UK
308369,Germen,Me and Earl and the Dying Girl,India
227973,Spanish,The Peanuts Movie,Spain
321741,Germen,Concussion,UK
296100,Spanish,The Night Before,USA
263472,Spanish,Knock Knock,USA
228205,Germen,The Longest Ride,India
159824,Germen,Hotel Transylvania 2,USA
333348,Dutch,Love the Coopers,India
285783,English,The Walk,USA
290764,Germen,Tracers,India
296099,Germen,Vacation,USA
243688,Germen,Poltergeist,USA
287424,Germen,Maggie,India
301875,Dutch,Equals,UK
181283,Dutch,Child 44,USA
328425,Germen,The Gift,UK
274167,English,Daddy's Home,Spain
370687,Germen,Mythica: The Necromancer,UK
307663,Spanish,Vice,Spain
309809,Germen,The Little Prince,India
258509,English,Alvin and the Chipmunks: The Road Chip,India
298382,English,The Dressmaker,Spain
272693,Spanish,The DUFF,USA
283445,Spanish,Sinister 2,USA
256961,Dutch,Paul Blart: Mall Cop 2,UK
326359,English,Frozen Fever,UK
254302,Spanish,High-Rise,USA
241251,Dutch,The Boy Next Door,UK
292040,English,Spooks: The Greater Good,UK
188222,Dutch,Entourage,UK
252838,English,The Wedding Ringer,India
273477,Spanish,Scouts Guide to the Zombie Apocalypse,UK
298312,Germen,The Visit,India
261023,Spanish,Black Mass,India
336004,Spanish,Heist,India
287903,English,Krampus,Spain
182560,English,Dark Places,India
192141,Germen,No Escape,India
308639,Dutch,Dope,UK
261392,Germen,American Ultra,Spain
304357,Germen,Woman in Gold,India
297291,Spanish,The Scorpion King: The Lost Throne,India
266294,Germen,Sisters,UK
227719,English,Project Almanac,UK
86828,Spanish,Absolutely Anything,UK
287948,Germen,The Transporter Refueled,Spain
201085,English,Crimson Peak,USA
277355,Germen,Everly,Spain
264999,Spanish,Magic Mike XXL,USA
146301,Dutch,Paranormal Activity: The Ghost Dimension,India
223485,English,Slow West,Spain
294016,Spanish,Trumbo,UK
290751,English,Secret in Their Eyes,Spain
309245,Dutch,Mistress America,USA
228165,English,The SpongeBob Movie: Sponge Out of Water,Spain
245706,Germen,True Story,India
272878,English,Max,India
263109,Dutch,Shaun the Sheep Movie,India
157827,English,Louder Than Bombs,India
321751,Germen,A Perfect Day,UK
266396,English,The Gunman,UK
277685,English,Unfriended,Spain
268920,Germen,Hot Pursuit,UK
280092,English,Insidious: Chapter 3,Spain
193687,Dutch,Z for Zachariah,Spain
300803,Spanish,Dragonheart 3: The Sorcerer's Curse,India
328589,Spanish,The Lady in the Van,USA
228066,English,Victor Frankenstein,India
378373,Spanish,Brothers of the Wind,India
291270,Spanish,Anomalisa,UK
294963,Germen,Bone Tomahawk,India
241257,Spanish,Regression,Spain
245698,English,Pawn Sacrifice,USA
353326,Dutch,The Man Who Knew Infinity,USA
346808,Spanish,Momentum,India
250124,Dutch,The Diary of a Teenage Girl,India
290637,Germen,Pay the Ghost,USA
244458,English,The Voices,UK
308504,Germen,Last Knights,USA
314405,Spanish,Il racconto dei racconti,UK
282984,Dutch,Irrational Man,UK
157843,Spanish,Queen of the Desert,India
275601,English,Ricki and the Flash,India
290762,Germen,Miss You Already,Spain
251516,Spanish,Kung Fury,Spain
304372,Germen,The Perfect Guy,Spain
324807,English,A Bigger Splash,USA
252512,Spanish,While We're Young,USA
257091,Germen,Get Hard,UK
228968,Dutch,Kidnapping Mr. Heineken,India
347969,Spanish,The Ridiculous 6,Spain
237756,Germen,Kill Me Three Times,UK
293646,Germen,The 33,USA
245168,Spanish,Suffragette,USA
311291,Germen,45 Years,USA
301351,English,We Are Your Friends,UK
248574,Dutch,Barely Lethal,Spain
225728,Spanish,Macbeth,UK
326425,English,Extraction,Spain
342474,Germen,Jenny's Wedding,India
277217,Germen,Descendants,Spain
207936,Germen,Tumbledown,UK
250734,Spanish,Far from the Madding Crowd,UK
249688,Germen,The End of the Tour,UK
268238,Germen,The Second Best Exotic Marigold Hotel,USA
256962,English,Little Boy,India
322456,Dutch,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,Spain
302528,English,Remember,Spain
222936,Germen,Aloha,Spain
316002,Germen,Accidental Love,USA
365806,Dutch,Halo: The Fall of Reach,Spain
10317,Dutch,Our Brand Is Crisis,India
334538,English,Into the Forest,India
306947,Germen,The Invitation,Spain
328901,English,The Benefactor,UK
382517,English,Open Season: Scared Silly,UK
310133,English,Cop Car,India
237584,Dutch,Mojave,USA
288036,Spanish,Sleeping with Other People,USA
354110,English,Forsaken,UK
331781,Dutch,Amy,UK
253161,English,Madame Bovary,Spain
312831,Spanish,The Hallow,Spain
316322,Dutch,Barbie in Princess Power,USA
301846,Germen,Howl,UK
306745,Spanish,Freeheld,USA
332340,English,Man Up,UK
292431,English,Love,India
300693,Dutch,Truth,UK
333381,Germen,Return to Sender,India
256924,Spanish,Danny Collins,India
253414,English,Rock the Kasbah,USA
254172,Germen,Fathers and Daughters,Spain
320588,Spanish,"Hello, My Name Is Doris",India
157544,Germen,The Vatican Tapes,Spain
283235,Germen,99 Homes,USA
243938,Spanish,Hot Tub Time Machine 2,Spain
86835,Germen,Knight of Cups,India
254905,Germen,Manglehorn,USA
309242,English,Mississippi Grind,USA
332502,Germen,400 Days,Spain
286192,English,Lava,USA
284674,Germen,Air,India
360055,Dutch,Riot,Spain
352179,Spanish,Septembers of Shiraz,Spain
246127,Dutch,Every Thing Will Be Fine,UK
338676,Germen,Extinction,USA
330982,English,The Childhood of a Leader,India
232572,Germen,A Walk in the Woods,India
112454,Dutch,Clown,UK
243940,Dutch,The Lazarus Effect,India
321528,Germen,Batman vs. Robin,India
317744,Dutch,Careful What You Wish For,India
300792,Germen,Racing Extinction,Spain
239573,Dutch,Unfinished Business,Spain
167810,Germen,Lost River,UK
319075,Spanish,Cobain: Montage of Heck,UK
316042,Dutch,Hyena Road,Spain
334527,Dutch,Criminal Activities,India
300153,Germen,Life,India
228203,English,"McFarland, USA",UK
332704,Spanish,Backtrack,USA
278236,Germen,X+Y,USA
276839,English,Home Sweet Hell,Spain
326215,Spanish,Ooops! Noah is Gone...,Spain
363689,Spanish,The Unspoken,USA
318256,Germen,Hot Girls Wanted,India
299245,Dutch,The Gallows,Spain
333344,Spanish,Dirty Weekend,Spain
357096,Dutch,I Spit on Your Grave III: Vengeance is Mine,India
309299,English,Experimenter,Spain
314385,Germen,By the Sea,Spain
333596,Spanish,Woodlawn,Spain
361042,Dutch,The Hollow,Spain
353686,English,Visions,Spain
318954,Dutch,Beyond the Mask,Spain
289191,English,I Am Here,USA
324333,English,Wild Horses,USA
252164,English,Pressure,USA
360784,Germen,Hidden,USA
336313,Dutch,Hell & Back,USA
240483,Germen,Robot Overlords,Spain
321494,English,The Man with the Iron Fists 2,Spain
353595,Dutch,LEGO DC Comics Super Heroes: Justice League: Attack of the Legion of Doom!,Spain
360603,English,Crown for Christmas,USA
264337,English,Spare Parts,India
289716,Dutch,The World Made Straight,UK
296065,English,Last Shift,USA
337029,Dutch,Frankenstein,Spain
317952,Dutch,Cartel Land,Spain
325358,Germen,Superfast!,USA
272548,Germen,Moonwalkers,UK
340275,Dutch,Chi-Raq,Spain
309887,Spanish,Bad Asses on the Bayou,India
302429,Dutch,Strange Magic,UK
253331,Germen,Black or White,UK
293771,Spanish,Dead Rising,Spain
323373,Germen,Deathgasm,USA
323027,Spanish,Justice League: Gods and Monsters,India
297806,Spanish,I Saw the Light,UK
253626,Spanish,Good Kill,UK
354251,Germen,Southbound,USA
329637,Spanish,Star Trek: Renegades,UK
257444,English,The Boy,USA
355338,Spanish,Riley's First Date?,USA
271736,Dutch,The Program,Spain
309581,Germen,Lila & Eve,UK
293970,Germen,The Final Girls,USA
279690,Germen,He Never Died,Spain
364067,Dutch,A Very Murray Christmas,UK
318922,Germen,Kill Your Friends,USA
335077,English,Battle For SkyArk,USA
266639,English,Jem and the Holograms,UK
274504,Dutch,The Adderall Diaries,USA
244316,Spanish,Grizzly,Spain
352208,Germen,Where to Invade Next,India
283587,Germen,Beasts of No Nation,India
311539,Dutch,A Christmas Horror Story,India
277713,English,Sunset Song,India
347945,English,Synchronicity,USA
363483,Dutch,12 Gifts of Christmas,UK
344854,Dutch,The Pack,USA
234212,Germen,Demonic,Spain
354220,Spanish,The Girl in the Photographs,India
283596,Germen,The Legend of Barney Thomson,Spain
250225,Dutch,The Duke of Burgundy,UK
